program_id,school_id,program_type,capacity,programno,r1_assigned,r1_first_choice
479-KN-KG,479,KN,13,80,13.0,10.0
691-FB-KG,691,FB,22,81,22.0,9.0
691-SB-KG,691,SB,22,82,22.0,19.0
691-GE-KG,691,GE,40,83,40.0,32.0
830-GE-KG,830,GE,22,85,22.0,22.0
714-SE-KG,714,SE,18,86,18.0,24.0
714-SN-KG,714,SN,26,87,20.0,8.0
549-GE-KG,549,GE,44,88,44.0,37.0
718-GE-KG,718,GE,42,90,42.0,46.0
505-GE-KG,505,GE,44,91,44.0,55.0
722-GE-KG,722,GE,64,93,64.0,83.0
724-NS-KG,724,NS,10,94,10.0,0.0
729-CB-KG,729,CB,22,95,22.0,14.0
729-GE-KG,729,GE,22,96,22.0,17.0
729-SE-KG,729,SE,18,97,18.0,31.0
729-SN-KG,729,SN,26,98,26.0,25.0
723-CB-KG,723,CB,22,99,11.0,6.0
723-GE-KG,723,GE,22,100,22.0,32.0
723-SB-KG,723,SB,22,101,22.0,16.0
650-SB-KG,650,SB,22,102,22.0,5.0
650-GE-KG,650,GE,22,103,22.0,16.0
735-GE-KG,735,GE,44,104,44.0,79.0
746-GE-KG,746,GE,44,105,44.0,16.0
746-ME-KG,746,ME,9,106,9.0,25.0
746-MN-KG,746,MN,13,107,13.0,33.0
638-CB-KG,638,CB,12,108,3.0,1.0
638-GE-KG,638,GE,22,109,18.0,11.0
786-JE-KG,786,JE,39,110,17.0,7.0
786-GE-KG,786,GE,20,112,20.0,15.0
786-JN-KG,786,JN,5,113,1.0,1.0
569-GE-KG,569,GE,42,115,42.0,86.0
790-GE-KG,790,GE,44,116,39.0,30.0
760-SN-KG,760,SN,28,117,18.0,11.0
760-GE-KG,760,GE,22,119,22.0,14.0
760-SE-KG,760,SE,16,120,16.0,13.0
796-GE-KG,796,GE,66,121,66.0,74.0
816-SB-KG,816,SB,21,122,21.0,6.0
816-GE-KG,816,GE,21,123,21.0,9.0
656-SB-KG,656,SB,22,125,22.0,6.0
656-GE-KG,656,GE,22,126,22.0,36.0
493-GE-KG,493,GE,33,127,33.0,14.0
814-GE-KG,814,GE,22,128,22.0,23.0
820-GE-KG,820,GE,44,129,44.0,20.0
823-GE-KG,823,GE,64,131,61.0,43.0
488-GE-KG,488,GE,66,132,66.0,42.0
834-CB-KG,834,CB,0,133,0.0,1.0
834-GE-KG,834,GE,42,134,6.0,1.0
834-SB-KG,834,SB,0,136,0.0,1.0
782-GE-KG,782,GE,64,138,64.0,61.0
842-GE-KG,842,GE,64,140,64.0,49.0
750-GE-KG,750,GE,64,141,64.0,142.0
848-CB-KG,848,CB,22,143,22.0,1.0
848-GE-KG,848,GE,22,144,22.0,16.0
513-CB-KG,513,CB,44,145,36.0,21.0
513-SB-KG,513,SB,22,146,22.0,18.0
513-GE-KG,513,GE,42,148,42.0,55.0
859-GE-KG,859,GE,44,150,43.0,36.0
862-CB-KG,862,CB,22,151,22.0,14.0
862-GE-KG,862,GE,66,152,66.0,56.0
867-CB-KG,867,CB,11,153,11.0,5.0
867-GE-KG,867,GE,44,154,39.0,17.0
497-SN-KG,497,SN,22,155,22.0,18.0
497-GE-KG,497,GE,22,156,22.0,36.0
497-SE-KG,497,SE,22,157,22.0,22.0
876-CE-KG,876,CE,14,158,14.0,44.0
876-CN-KG,876,CN,19,159,19.0,25.0
876-GE-KG,876,GE,66,160,66.0,78.0
801-GE-KG,801,GE,42,161,42.0,32.0
485-CE-KG,485,CE,42,163,42.0,78.0
485-CT-KG,485,CT,24,164,24.0,36.0
