feature,coefficient,std_error,log_likelihood,z_stats,p_value
program_type_FB,0.5485180531207595,0,-42208.47038378465,0,0
program_type_CB,0.0984478534835524,0,-42208.47038378465,0,0
program_type_CE,-1.7976677781577035,0,-42208.47038378465,0,0
program_type_CN,0.3105311688042613,0,-42208.47038378465,0,0
program_type_JE,-1.355111011198725,0,-42208.47038378465,0,0
program_type_JN,0.7588848067764675,0,-42208.47038378465,0,0
program_type_MN,2.927857913535909,0,-42208.47038378465,0,0
program_type_ME,-0.717560301443767,0,-42208.47038378465,0,0
program_type_NC,-0.6745411270444375,0,-42208.47038378465,0,0
program_type_KN,0.2694026737649651,0,-42208.47038378465,0,0
program_type_KE,-2.179654975226627,0,-42208.47038378465,0,0
program_type_NS,-0.5804996367256977,0,-42208.47038378465,0,0
program_type_CT,2.177402869634182,0,-42208.47038378465,0,0
prog_CE_x_English_x_ethn_match0,0.0068087441858118,0,-42208.47038378465,0,0
prog_CE_x_English_x_ethn_match1,1.5780935807051055,0,-42208.47038378465,0,0
prog_SE_x_English_x_ethn_match0,0.3693339115864955,0,-42208.47038378465,0,0
prog_SE_x_English_x_ethn_match1,1.1989662993422008,0,-42208.47038378465,0,0
prog_JE_x_English_x_ethn_match0,0.2737409510528715,0,-42208.47038378465,0,0
prog_JE_x_English_x_ethn_match1,-0.2048279293043003,0,-42208.47038378465,0,0
prog_ME_x_English_x_ethn_match0,-0.1800437735287932,0,-42208.47038378465,0,0
prog_ME_x_English_x_ethn_match1,-0.2514284884895923,0,-42208.47038378465,0,0
prog_KE_x_English_x_ethn_match0,-0.7797686109765594,0,-42208.47038378465,0,0
prog_KE_x_English_x_ethn_match1,-0.2667927259234504,0,-42208.47038378465,0,0
prog_XN_x_English,3.4797057935066054,0,-42208.47038378465,0,0
lang_match_CB,1.2259170944739926,0,-42208.47038378465,0,0
lang_match_FB,0.0,0,-42208.47038378465,0,0
lang_match_SB,1.076243218961581,0,-42208.47038378465,0,0
lang_match_not_XB,0.1777433911570224,0,-42208.47038378465,0,0
distance_indicator_lt_0_5,1.1183161275119378,0,-42208.47038378465,0,0
distance_x_low_income0,-1.1958742738556751,0,-42208.47038378465,0,0
distance_x_low_income1,-0.9354329003046438,0,-42208.47038378465,0,0
school_999,2.4871233179938876,0,-42208.47038378465,0,0
