studentno,413-GE-KG,420-GE-KG,420-SE-KG,420-SN-KG,435-GE-KG,456-GE-KG,456-SB-KG,618-SN-KG,618-SE-KG,449-FB-KG,449-GE-KG,625-GE-KG,603-SB-KG,603-GE-KG,872-CB-KG,872-GE-KG,509-CE-KG,509-CN-KG,478-GE-KG,478-JE-KG,478-JN-KG,481-SB-KG,481-GE-KG,525-GE-KG,507-GE-KG,521-GE-KG,539-GE-KG,680-SN-KG,680-GE-KG,680-SE-KG,562-CN-KG,562-CE-KG,562-GE-KG,575-SB-KG,575-GE-KG,589-GE-KG,593-SB-KG,593-GE-KG,453-GE-KG,453-SE-KG,453-SN-KG,614-SB-KG,614-CB-KG,614-GE-KG,537-SE-KG,537-SN-KG,644-GE-KG,544-GE-KG,838-GE-KG,838-ME-KG,838-MN-KG,664-GE-KG,670-GE-KG,490-CB-KG,490-GE-KG,676-GE-KG,476-NC-KG,479-GE-KG,479-KE-KG,479-KN-KG,691-FB-KG,691-SB-KG,691-GE-KG,830-GE-KG,714-SE-KG,714-SN-KG,549-GE-KG,718-GE-KG,505-GE-KG,722-GE-KG,724-NS-KG,729-CB-KG,729-GE-KG,729-SE-KG,729-SN-KG,723-CB-KG,723-GE-KG,723-SB-KG,650-SB-KG,650-GE-KG,735-GE-KG,746-GE-KG,746-ME-KG,746-MN-KG,638-CB-KG,638-GE-KG,786-JE-KG,786-GE-KG,786-JN-KG,569-GE-KG,790-GE-KG,760-SN-KG,760-GE-KG,760-SE-KG,796-GE-KG,816-SB-KG,816-GE-KG,656-SB-KG,656-GE-KG,493-GE-KG,814-GE-KG,820-GE-KG,823-GE-KG,488-GE-KG,834-CB-KG,834-GE-KG,834-SB-KG,782-GE-KG,842-GE-KG,750-GE-KG,848-CB-KG,848-GE-KG,513-CB-KG,513-SB-KG,513-GE-KG,859-GE-KG,862-CB-KG,862-GE-KG,867-CB-KG,867-GE-KG,497-SN-KG,497-GE-KG,497-SE-KG,876-CE-KG,876-CN-KG,876-GE-KG,801-GE-KG,485-CE-KG,485-CT-KG
2324-1001137,-1.481972,-0.966595,-1.313485,-inf,-0.890414,-4.345459,-inf,-inf,-3.096903,-inf,-2.985559,-7.081687,-inf,-3.385046,-inf,-2.986623,1.933626,-inf,-0.405599,-1.639328,-inf,-inf,-6.112599,-2.072744,-6.495205,-6.798085,-3.206665,-inf,-3.99381,-4.3407,-inf,-4.035783,-4.142419,-inf,-3.923964,0.031111,-inf,-6.80293,-7.93244,-8.27933,-inf,-inf,-inf,-5.687482,-3.566788,-inf,-1.164935,-2.596073,-4.742137,-5.384916,-inf,-2.193982,-4.625318,-inf,-2.946806,-1.448574,-inf,0.124471,-1.995767,-inf,-inf,-inf,-6.386898,-7.083722,-2.963845,-inf,-1.483578,15.441713,-1.920442,-2.146123,-inf,-inf,-5.214627,-5.561517,-inf,-inf,-3.588776,-inf,-inf,-2.269801,1.022833,-5.177599,-5.820379,-inf,-inf,-3.90203,-3.532878,-2.299149,-inf,0.158531,-3.214999,-inf,-5.861094,-6.207984,-0.734757,-inf,-2.434014,-inf,-4.822023,-5.141765,-1.51226,-6.264974,-1.596522,-3.081962,-inf,-3.777607,-inf,-2.80365,-3.046622,-1.645334,-inf,-2.559095,-inf,-inf,-6.141821,-3.043219,-inf,-2.848736,-inf,-7.3672,-inf,-3.936526,-4.283416,-1.644791,-inf,-1.751426,-2.590261,-0.97372,-inf
2324-1001138,-3.934754,-1.444033,-2.160257,0.114007,-3.117441,-4.311236,-2.380239,-1.404623,-3.678888,-inf,-5.096174,-5.637846,-1.849458,-3.780455,-inf,-5.868045,-3.876639,-inf,-0.914239,-1.94314,-inf,-0.805881,-2.736878,-5.629468,-4.858563,-4.080653,-2.359448,-1.980744,-3.538785,-4.255009,-inf,-8.648356,-7.176898,1.993058,0.062061,-1.975888,-1.317749,-3.248746,-5.668518,-6.384742,-4.110477,-1.17128,-inf,-3.102277,-2.40565,-0.131385,-2.480169,-3.225551,-4.848691,-5.240042,-inf,-4.016914,-3.04285,-inf,-5.871276,-2.1667,-inf,-3.183399,-5.036845,-inf,-inf,-0.968188,-2.899184,-5.868643,-5.132952,-2.858687,-4.170952,-2.765868,-3.239092,-0.358836,-2.16965,-inf,-1.92781,-2.644034,-0.369769,-inf,-4.208883,-2.277886,-3.241477,-5.172473,-3.265104,-2.423563,-2.814914,-inf,-inf,-6.957435,-6.655645,-5.626743,-inf,-2.850172,-6.332621,-2.696918,-4.254959,-4.971183,-1.451906,-2.365121,-4.296118,-1.015009,-2.946006,-0.678956,-5.010172,-3.159195,-4.994687,-1.235852,-inf,-6.967785,-5.036789,-2.800353,-0.161286,-1.779083,-inf,-5.35262,-inf,-1.97304,-3.904036,-5.956618,-inf,-2.095003,-inf,-4.35888,-3.073051,-4.631092,-5.347316,-2.369522,-inf,-0.898063,-5.837664,-3.566771,-inf
2324-1001139,-2.191845,-1.567219,-1.914109,-inf,-1.827959,-3.324674,-inf,-inf,-2.801378,-inf,-0.023642,-5.58975,-inf,-2.80629,-inf,-0.947608,-0.636807,-inf,-1.387845,-2.621575,-inf,-inf,-5.724279,-2.212448,-5.241129,-5.851485,-3.821426,-inf,-3.322211,-3.669101,-inf,-2.114733,-2.221369,-inf,-3.943153,-1.224479,-inf,-6.330615,-6.521956,-6.868846,-inf,-inf,-inf,-5.163067,-3.388687,-inf,-2.162349,-3.221038,-3.469299,-4.112078,-inf,-2.819024,-5.011357,-inf,-1.059353,-2.250559,-inf,-0.554552,-2.674791,-inf,-inf,-inf,-6.112896,-5.457454,-2.379434,-inf,-2.564974,-1.113222,-2.601398,-2.600461,-inf,-inf,-4.954222,-5.301112,-inf,-inf,-2.853703,-inf,-inf,-2.33816,-1.436082,-5.262445,-5.905224,-inf,-inf,-2.119208,-3.218641,-1.984911,-inf,-0.674109,-1.827444,-inf,-5.229791,-5.576681,-1.570895,-inf,-2.823487,-inf,-4.477545,-4.929782,-1.047632,-6.228646,-0.548783,-3.509981,-inf,-2.357624,-inf,-3.474047,-3.25736,-2.254721,-inf,-3.358283,-inf,-inf,-5.259477,-0.654457,-inf,-3.28827,-inf,-6.430181,-inf,-2.381677,-2.728567,-2.356443,-inf,-2.463078,-1.03756,-2.019723,-inf
2324-1001140,-3.012722,-3.584823,-3.931713,-inf,-2.426467,-7.557322,-inf,-inf,-6.214232,-inf,-7.561792,-9.311832,-inf,-6.736875,-inf,-7.867834,-5.09532,-inf,-1.737701,-2.492862,-inf,-inf,-6.204576,-6.704675,-8.534048,-7.679182,-0.592456,-inf,-6.813388,-7.160278,-inf,-10.48708,-9.022431,-inf,-4.562913,-3.023277,-inf,-5.99817,-9.304849,-9.651739,-inf,-inf,-inf,-6.78768,-5.387155,-inf,-1.629684,-0.711917,-8.111612,-8.683006,-inf,-2.315866,-0.873983,-inf,-7.826895,-0.35249,-inf,-3.446192,-6.079406,-inf,-inf,-inf,-4.85082,-9.528841,-7.189686,-inf,-4.159676,-4.484164,-5.246105,-2.348918,-inf,-inf,-5.564725,-5.911615,-inf,-inf,-7.135191,-inf,-inf,-7.016475,-4.083283,-2.493312,-3.064707,-inf,-inf,-8.783939,-7.932512,-7.177351,-inf,-2.789453,-8.09862,-inf,-7.829071,-8.175961,-3.181609,-inf,-6.410067,-inf,-6.479665,-5.435902,-6.229348,-4.060774,-6.3777,-0.773942,-inf,-8.650929,-inf,-0.377911,-2.629408,0.946431,-inf,-4.968236,-inf,-inf,-7.589217,-7.887705,-inf,2.487636,-inf,-7.806411,-inf,-7.737057,-8.083947,-2.585287,-inf,-1.120638,-7.430257,-3.209668,-inf
2324-1001141,-4.312532,-1.298309,-1.645199,-inf,-3.542087,-2.614629,-inf,-inf,-2.131316,-inf,-3.740214,-4.195558,-inf,-2.399436,-inf,-4.607764,-3.616793,-inf,-1.502444,-2.257605,-inf,-inf,-3.564827,-5.06555,-3.473143,-3.653455,-3.763587,-inf,-1.903056,-2.249946,-inf,-7.447286,-5.982637,-inf,-2.098424,-2.047682,-inf,-4.385131,-4.776124,-5.123014,-inf,-inf,-inf,-2.729516,-1.350423,-inf,-3.191835,-4.32216,-3.1202,-3.691595,-inf,-4.697381,-4.663481,-inf,-4.675348,-3.162347,-inf,-3.045087,-5.678301,-inf,-inf,-inf,-4.439453,-4.345839,-3.641884,-inf,-4.344615,-2.27873,-2.874575,-1.551273,-inf,-inf,-2.810724,-3.157614,-inf,-inf,-2.78448,-inf,-inf,-4.376739,-3.127875,-4.187828,-4.759223,-inf,-inf,-5.810795,-5.597578,-4.842418,-inf,-2.905006,-5.308446,-inf,-1.560319,-1.90721,-1.544149,-inf,-3.606304,-inf,13.556209,-2.838748,-4.289706,-4.902614,-4.115897,-2.840927,-inf,-5.94568,-inf,-4.037137,-1.82613,-3.012856,-inf,-5.536519,-inf,-inf,-2.959016,-4.926957,-inf,-3.579392,-inf,-4.292413,-inf,-2.949789,-3.296679,-3.564146,-inf,-2.099496,-4.795346,-4.273877,-inf
2324-1001142,-5.50671,-2.491904,-3.208128,-inf,-4.733288,-3.187942,-inf,-inf,-3.598962,-inf,-4.485982,-3.209241,-inf,-3.36629,-inf,-5.334459,-4.801216,-inf,11.85739,10.828488,-inf,-inf,-3.7004,-6.159478,-1.313699,-2.842504,-4.718665,-inf,-2.797569,-3.513793,-inf,-8.222539,-6.75108,-inf,-2.901541,-3.242573,-inf,-4.346775,-3.589503,-4.305727,-inf,-inf,-inf,-2.909314,-2.837698,-inf,-4.351942,-5.412239,-3.488369,-3.87972,-inf,-5.872424,-5.475311,-inf,-5.467049,-4.272972,-inf,-4.214981,-6.068426,-inf,-inf,-inf,-4.63502,-3.459287,-4.994409,-inf,-5.539062,-3.436743,-4.062402,-2.52247,-inf,-inf,-3.204656,-3.92088,-inf,-inf,-3.676594,-inf,-inf,-5.445928,-4.310106,-4.739063,-5.130414,-inf,-inf,-6.62618,-6.911117,-5.882215,-inf,-4.093068,-6.223564,-inf,-3.384357,-4.100581,-2.732812,-inf,-4.744574,-inf,-3.034622,-3.288139,-5.32704,-5.34036,-5.079455,-3.663559,-inf,-6.848021,-inf,-5.073948,-2.585942,-4.054766,-inf,-6.729927,-inf,-inf,-1.087877,-5.868116,-inf,-4.498457,-inf,-3.574107,-inf,-3.343627,-4.059851,-4.588327,-inf,-3.116869,-5.665108,-5.433636,-inf
2324-1001143,-4.614166,-2.366374,-3.082598,-0.808333,-4.017096,-2.56783,-0.636834,-0.951163,-3.225428,-inf,-1.965348,-4.806724,-0.713223,-2.64422,-inf,-2.627883,-3.776941,-inf,-2.695395,-3.724297,-inf,-4.017413,-5.948409,-4.349274,-4.555016,-5.625656,-5.450126,-1.352478,-2.910519,-3.626743,-inf,-5.549963,-4.078504,-2.406533,-4.33753,-2.66619,-4.831259,-6.762256,-6.067222,-6.783446,-4.509181,-3.141564,-inf,-5.072561,-3.836594,-1.562329,-4.09932,-5.491433,-2.435995,-2.827346,-inf,-5.317548,-6.588588,-inf,-2.853013,-4.301352,-inf,-2.814153,-4.667598,-inf,-inf,-4.889684,-6.820681,-4.600116,-3.390773,-1.116509,-4.620686,-2.382671,-3.523638,-3.450871,-3.953833,-inf,-5.194565,-5.910789,-3.636525,-inf,-2.61951,-0.688513,-1.88341,-3.814407,-3.232741,-6.415994,-6.807345,-inf,-inf,-4.029808,-4.97312,-3.944218,-inf,-2.921357,-3.864975,-3.342336,-4.900377,-5.616601,-2.585618,-1.816441,-3.747437,-2.494124,-4.425121,-5.213856,-3.259485,-7.206922,-2.764671,-4.808151,-inf,-4.424598,-2.493602,-5.44947,-3.991738,-4.377387,-inf,-5.66896,-inf,-2.955555,-4.886552,-3.671063,-inf,-5.263286,-inf,-6.351119,1.626803,0.068762,-0.647462,-5.225112,-inf,-3.753654,-3.135684,-5.312011,-inf
2324-1001144,-2.91251,-2.724131,-3.071021,-inf,-2.669799,-4.238599,-inf,-inf,-3.90202,-inf,-1.964261,-6.314879,-inf,-3.863833,-inf,1.211007,-1.683836,-inf,-2.506241,-3.73997,-inf,-inf,-6.813596,-2.847803,-6.063613,-6.810234,-4.929625,-inf,-4.333035,-4.679925,-inf,-1.205554,-1.31219,-inf,-5.076838,-2.307329,-inf,-7.42834,-7.33094,-7.67783,-inf,-inf,-inf,-6.209777,-4.49159,-inf,-3.14193,-4.174729,-4.282598,-4.925377,-inf,-3.60126,-6.143253,-inf,0.530267,-3.237678,-inf,-1.210745,-3.330984,-inf,-inf,-inf,-7.245748,-6.113989,-3.514302,-inf,-3.424527,-2.234596,-3.75477,-3.75784,-inf,-inf,-6.057533,-6.404423,-inf,-inf,-3.887468,-inf,-inf,-3.442552,-2.392692,-6.41985,-7.062629,-inf,-inf,-1.556228,10.463713,11.697442,-inf,-1.39782,-2.199731,-inf,-6.242545,-6.589435,-2.718153,-inf,-3.979202,-inf,-5.553081,-6.040382,-1.446716,-7.382563,-0.569782,-4.657591,-inf,-2.378975,-inf,-4.512476,-4.411113,-3.265731,-inf,-4.079605,-inf,-inf,-6.215408,-2.751545,-inf,-4.364609,-inf,-7.409094,-inf,-3.073728,-3.420618,-3.491555,-inf,-3.598191,-0.562555,-3.061039,-inf
2324-1001145,-2.579976,-3.529991,-3.876881,-inf,-2.033236,-7.58401,-inf,-inf,-6.2077,-inf,-7.442722,-9.466064,-inf,-6.726164,-inf,-7.661558,-4.890503,-inf,-1.608956,-2.364117,-inf,-inf,-6.458744,-6.43139,-8.692353,-7.921081,13.989871,-inf,-6.857806,-7.204696,-inf,-10.260296,-8.795646,-inf,-4.715318,-2.836914,-inf,-6.334911,-9.535316,-9.882206,-inf,-inf,-inf,-6.97247,-5.475545,-inf,-1.27635,-0.217425,-8.134421,-8.705816,-inf,-1.838009,-1.211291,-inf,-7.622822,0.076928,-inf,-3.103318,-5.736532,-inf,-inf,-inf,-5.220495,-9.669058,-7.093518,-inf,-3.824389,-4.330518,-5.151634,-2.433382,-inf,-inf,-5.781306,-6.128196,-inf,-inf,-7.113548,-inf,-inf,-6.84791,-3.829138,-2.889551,-3.460946,-inf,-inf,-8.561619,-7.711966,-6.956805,-inf,-2.426958,-7.883979,-inf,-7.947978,-8.294868,-3.095556,-inf,-6.301037,-inf,-6.598772,-5.650358,-5.958498,-4.444809,-6.112746,-0.989759,-inf,-8.420436,-inf,0.061218,-2.818584,1.438921,-inf,-4.578566,-inf,-inf,-7.775766,-7.704705,-inf,2.901532,-inf,-8.085358,-inf,-7.722238,-8.069128,-2.566437,-inf,-1.101787,-7.178937,-2.940415,-inf
2324-1001146,-5.685401,-2.681281,-3.028171,-inf,-4.925309,-3.114205,-inf,-inf,-3.318434,-inf,-4.382862,-2.854203,-inf,-3.395461,-inf,-5.203075,-4.918252,-inf,-2.896907,-3.652068,-inf,-inf,-4.075265,-6.20025,13.550204,-3.128997,-5.040426,-inf,-2.847924,-3.194814,-inf,-8.097156,-6.632506,-inf,-3.23392,-3.417598,-inf,-4.711382,-3.538262,-3.885153,-inf,-inf,-inf,-3.272117,-2.717558,-inf,-4.588128,-5.692385,-3.338814,-3.910209,-inf,-6.092875,-5.823664,-inf,-5.362154,-4.542455,-inf,-4.3212,-6.954415,-inf,-inf,-inf,-5.008252,-3.089707,-4.629127,-inf,-5.700762,-3.540794,-4.210348,-2.833043,-inf,-inf,-3.572389,-3.919279,-inf,-inf,-3.6707,-inf,-inf,-5.481947,-4.438931,-5.109358,-5.680753,-inf,-inf,-6.527857,-6.648955,-5.893795,-inf,-4.229846,-6.171077,-inf,-3.60625,-3.95314,-2.934781,-inf,-4.83595,-inf,-3.311698,-3.653736,-5.331256,-5.714198,-5.043494,-4.008309,-inf,-6.786984,-inf,-5.374165,-2.932804,-4.353774,-inf,-6.883609,-inf,-inf,-2.578217,-5.833435,-inf,-4.83015,-inf,-3.854548,-inf,-3.165593,-3.512483,-4.884133,-inf,-3.419483,-5.585837,-5.668806,-inf
2324-1001147,-1.793767,-1.407371,-1.754261,-inf,-1.440837,-3.500982,-inf,-inf,-2.821064,-inf,-1.50838,-5.81646,-inf,-2.884595,-inf,-1.116209,-1.880908,-inf,-1.125437,-1.880597,-inf,-inf,-5.716166,-1.823291,-5.427907,-5.952905,-3.54688,-inf,-3.423659,-3.770549,-inf,-3.784579,-2.319929,-inf,-3.877173,-0.925663,-inf,-6.306781,-6.702722,-7.049612,-inf,-inf,-inf,-5.205288,-3.381298,-inf,-1.809782,-2.862725,-3.698401,-4.269796,-inf,-2.426697,-4.765215,-inf,-1.192182,-1.902528,-inf,-0.155437,-2.788651,-inf,-inf,-inf,-6.036578,-5.710041,-2.395322,-inf,-2.178373,-0.860076,-2.420856,-2.439815,-inf,-inf,-4.931946,-5.278836,-inf,-inf,-2.963518,-inf,-inf,-2.068132,-1.068042,-5.097376,-5.66877,-inf,-inf,-2.1839,-1.22335,-0.46819,-inf,14.238217,-1.7141,-inf,-5.311283,-5.658174,-1.362641,-inf,-2.667647,-inf,-4.499668,-4.897731,-0.719603,-6.096536,-0.350863,-3.29447,-inf,-2.273292,-inf,-3.149636,-3.131831,-1.917547,-inf,-2.959508,-inf,-inf,-5.370278,-0.384348,-inf,-2.987441,-inf,-6.514146,-inf,-2.673874,-3.020764,-3.688159,-inf,-2.22351,-0.997679,-3.265838,-inf
2324-1001148,-4.879547,-2.720323,-3.436547,-inf,-4.237717,-3.893307,-inf,-inf,-4.149199,-inf,-4.750097,-3.505001,-inf,-3.95716,-3.539913,-5.190487,-4.835243,-2.549301,-2.533946,-3.562848,-inf,-inf,-3.390213,-6.04193,-3.094946,-2.376399,-4.020898,-inf,-3.523012,-4.239236,-5.730579,-8.016521,-6.545063,-inf,-2.960605,-3.227707,-inf,-3.500414,-2.82306,-3.539284,-inf,-inf,-1.567582,-3.218157,-3.311584,-inf,-3.874369,-4.493091,-4.144289,-4.53564,-inf,-5.043542,-4.590301,-3.756015,-5.40659,-3.573225,-6.616532,-3.893999,-5.747445,-inf,-inf,-inf,-3.742758,-3.683072,-5.376163,-inf,-5.223002,-3.61201,-4.302004,-2.396192,-inf,-1.463133,-3.113708,-3.829932,-inf,-2.6031,-4.253675,-inf,-inf,-5.631378,-4.224171,-3.852303,-4.243654,-inf,-4.849908,-6.500483,-6.946587,-5.917686,-inf,-3.711496,-6.219413,-inf,-4.154554,-4.870778,-2.849995,-inf,-5.038747,-inf,-3.556121,-3.186421,-5.187409,-4.471662,-4.903339,-3.019321,-5.117874,-6.768449,-inf,-4.264127,-2.318427,-3.141373,-4.608215,-6.258789,-1.16166,-inf,-2.812234,-5.992596,-1.814811,-3.465385,-0.975425,-2.625999,-inf,-3.85196,-4.568183,-4.232053,-1.946111,-2.760595,-5.453379,-5.076941,-0.924127
2324-1001149,-4.166548,-2.541064,-3.257288,-0.983024,-3.664815,-3.375999,-1.445003,-1.379722,-3.653986,-inf,-0.061226,-5.806887,-1.191596,-3.122593,-inf,-1.631848,-3.500266,-inf,-2.747201,-3.776103,-inf,-4.749141,-6.680137,-3.662903,-5.533867,-6.535088,-5.598708,-2.057446,-3.615487,-4.331711,-inf,-4.549811,-3.078352,-2.966782,-4.897779,-2.537676,-5.572865,-7.503861,-7.056885,-7.773108,-5.498844,-3.921622,-inf,-5.852619,-4.433185,-2.15892,-3.929202,-5.359342,-3.356846,-3.748197,-inf,-4.962742,-6.845785,-inf,-1.858057,-4.188269,-inf,-2.236126,-4.089572,-inf,-inf,-5.540823,-7.471819,-5.597437,-3.291714,-1.017449,-4.237113,-2.195493,-3.574332,-3.806447,-4.440199,-inf,-5.878375,-6.594599,-4.320334,-inf,-3.079269,-1.148272,-1.468531,-3.399528,-2.870987,-6.880128,-7.271479,-inf,-inf,-3.035796,-4.296924,-3.268022,-inf,-2.419017,-2.97055,-4.133716,-5.691757,-6.40798,-2.684272,-1.767407,-3.698404,-3.178983,-5.10998,-5.87811,-2.454958,-7.742891,-1.852503,-5.117151,-inf,-3.486499,-1.555503,-5.445838,-4.466709,-4.336932,-inf,-5.188591,-inf,-3.851812,-5.782809,-2.921535,-inf,-5.369607,-inf,-7.250481,-0.4637,-2.021741,-2.737965,-5.415878,-inf,-3.94442,-2.152183,-5.224367,-inf
2324-1001150,-5.033991,-2.891847,-3.238737,-inf,-4.444962,-3.359933,-inf,-inf,-3.632375,-inf,-3.96901,-1.466911,-inf,-3.644799,-inf,-4.257081,-4.769636,-inf,-2.925635,-3.680795,-inf,-inf,-4.519912,-5.682253,-2.786753,-3.578248,-4.84241,-inf,11.209727,10.862837,-inf,-7.109996,-5.645347,-inf,-3.69478,-3.356654,-inf,-4.898314,-3.323118,-3.670008,-inf,-inf,-inf,-3.951721,-3.276045,-inf,-4.267765,-5.112262,-3.405241,-3.976635,-inf,-5.380231,-5.594311,-inf,-4.566511,-4.129073,-inf,-3.764068,-6.397282,-inf,-inf,-inf,-5.093742,-1.241782,-4.576578,-inf,-5.305604,-3.487527,-4.329696,-3.082503,-inf,-inf,-4.069854,-4.416744,-inf,-inf,-3.838883,-inf,-inf,-5.277862,-4.181867,-5.047056,-5.618451,-inf,-inf,-5.67381,-6.22384,-5.468679,-inf,-3.697269,-5.554273,-inf,-4.343856,-4.690746,-3.073246,-inf,-4.877545,-inf,-3.954557,-4.134136,-4.699624,-5.721319,-4.27642,-3.970219,-inf,-6.067304,-inf,-4.979173,-3.212445,-3.856726,-inf,-6.310757,-inf,-inf,-3.371034,-5.400715,-inf,-4.373679,-inf,-4.112421,-inf,-2.949763,-3.296653,-4.910205,-inf,-3.445555,-4.67986,-5.48203,-inf
2324-1001151,-3.895643,-0.881086,-1.227976,-inf,-3.120948,-2.747507,-inf,-inf,-1.899546,-inf,-3.652863,-4.619018,-inf,-2.281959,-inf,-4.496325,-3.239093,-inf,-1.075658,-1.830819,-inf,-inf,-3.59917,-4.75478,-3.90074,-3.973146,-3.386851,-inf,-1.972409,-2.319299,-inf,-7.313172,-5.848522,-inf,-1.862818,-1.635122,-inf,-4.417691,-5.182708,-5.529598,-inf,-inf,-inf,-2.908034,0.121574,-inf,-2.764254,-3.90435,-3.292561,-3.863956,-inf,-4.270436,-4.334143,-inf,-4.537297,-2.74099,-inf,-2.670996,-5.30421,-inf,-inf,-inf,-4.367243,-4.759046,-3.44251,-inf,-3.936245,-1.926397,-2.487052,-1.189358,-inf,-inf,-2.772084,-3.118974,-inf,-inf,-2.700431,-inf,-inf,-4.097066,-2.742691,-3.962998,-4.534393,-inf,-inf,-5.657609,-5.328483,-4.573322,-inf,-2.509731,-5.110085,-inf,-3.092791,-3.439681,13.392347,-inf,-3.280323,-inf,-0.922762,-2.768792,-4.015004,-4.727415,-3.882995,-2.515832,-inf,-5.750194,-inf,-3.633226,-1.557372,-2.606804,-inf,-5.131158,-inf,-inf,-3.331695,-4.722624,-inf,-3.209225,-inf,-4.565983,-inf,-3.062818,-3.409708,-3.172966,-inf,-1.708317,-4.611023,-3.846794,-inf
2324-1001152,-0.201953,-3.328142,-4.044365,-inf,-0.321431,-6.985629,-inf,-inf,-6.154065,-inf,-5.983447,-9.065981,-inf,-6.160904,-3.72154,-5.372114,-3.867689,-1.581747,-1.63999,-2.668892,-inf,-inf,-7.175242,-4.511603,-8.459696,-8.196842,-2.117409,-inf,-6.500742,-7.216966,-5.571004,-7.856946,-6.385488,-inf,-5.302769,-2.19655,-inf,-7.313412,-9.453558,-10.169782,-inf,-inf,-5.65358,-7.304155,-5.965101,-inf,-0.571823,0.426635,-7.398898,-7.790248,-inf,0.755614,-3.306288,-3.850586,-5.50116,0.394566,-6.938361,-1.027183,-2.880629,-inf,-inf,-inf,-6.485691,-9.132271,-6.478019,-inf,-2.277684,-3.439726,-4.667527,-3.158642,-inf,-4.786557,-6.437131,-7.153355,-inf,-4.784302,-6.434876,-inf,-inf,-5.597793,-2.564987,-4.601782,-4.993133,-inf,-4.662222,-6.312797,-6.303112,-5.27421,-inf,-0.417905,-5.939191,-inf,-7.934542,-8.650766,-2.901966,-inf,-5.544256,-inf,-6.759468,-6.334887,-3.852835,-5.982324,-3.831183,-2.609595,-4.651464,-6.302038,-inf,-0.780835,-3.797306,0.948724,-0.803757,-2.454331,-6.232581,-inf,-7.883155,-6.075087,1.167015,-0.483559,-6.854914,-8.505489,-inf,-6.713505,-7.429729,-3.452906,-1.166963,-1.981447,-4.770296,-2.682507,1.470308
2324-1001153,-4.703019,-2.338711,-3.054935,-inf,-4.086918,-2.406442,-inf,-inf,-3.157987,-inf,-2.164812,-4.583657,-inf,-2.577352,-1.201406,-2.85198,-3.845774,-1.559831,-2.683256,-3.712158,-inf,-inf,-5.775912,-4.500114,-4.331451,-5.413949,-5.405547,-inf,-2.767327,-3.483551,-3.48705,-5.772992,-4.301534,-inf,-4.20865,-2.69911,-inf,-6.585068,-5.8426,-6.558824,-inf,-inf,-3.241348,-4.891923,-3.706743,-inf,-4.12912,-5.506704,-2.238854,-2.630205,-inf,-5.383313,-6.517767,-1.421336,-3.071911,-4.315029,-4.224085,-2.936765,-4.790211,-inf,-inf,-inf,-6.662868,-4.382973,-3.464558,-inf,-4.700973,-2.440395,-3.52829,-3.367897,-inf,-3.383929,-5.034503,-5.750727,-inf,-0.92023,-2.570804,-inf,-inf,-3.925799,-3.315054,-6.299305,-6.690656,-inf,-2.597605,-4.24818,-5.127845,-4.098943,-inf,-3.026256,-4.061683,-inf,-4.721695,-5.437919,-2.571012,-inf,-3.783637,-inf,-4.27172,-5.058321,-3.434523,-7.074517,-2.962195,-4.728335,-2.978499,-4.629073,-inf,-5.437429,-3.878753,-4.372365,-4.116839,-5.767414,-3.028321,-inf,-4.678895,-3.845691,-3.573925,-5.224499,-4.490319,-6.140893,-inf,0.225778,-0.490446,-5.176032,-2.89009,-3.704574,-3.350394,-5.325761,-1.172947
2324-1001154,-3.127223,-2.280194,-2.627084,-inf,-2.513981,-5.313171,-inf,-inf,-4.366377,-inf,-5.645892,-6.378074,-inf,-4.791104,-inf,-5.944628,-2.618126,-inf,-1.128557,-2.362286,-inf,-inf,-3.69363,-5.669839,-5.726943,-4.825926,-1.227973,-inf,-4.663091,-5.009981,-inf,-7.064963,-7.171598,-inf,-2.592084,-2.273827,-inf,-3.287623,-6.192075,-6.538965,-inf,-inf,-inf,-4.336239,-3.379309,-inf,-1.889716,-1.796427,-5.77144,-6.41422,-inf,-2.844512,-1.401147,-inf,-6.031837,-1.128785,-inf,-2.901877,-5.022115,-inf,-inf,-inf,-2.257759,-6.561419,-5.506092,-inf,-3.886861,-3.308118,-3.975896,-1.032743,-inf,-inf,-3.229503,-3.576393,-inf,-inf,-5.167405,-inf,-inf,-5.663837,-3.375662,0.636399,-0.00638,-inf,-inf,-7.035483,-7.122786,-5.889056,-inf,-2.461799,-6.544882,-inf,-5.484129,-5.831019,-2.101288,-inf,-5.015441,-inf,-4.299553,-3.144606,-5.026083,-0.545427,-4.976932,-0.205747,-inf,-7.085595,-inf,-1.502107,-0.879002,-0.30828,-inf,-4.812068,-inf,-inf,-4.915377,-6.336784,-inf,-0.310518,-inf,-4.87839,-inf,-5.425082,-5.771972,-0.571646,-inf,-0.678281,-5.798809,-1.648214,-inf
