school_id,school_name,school_name_long,lat,lon,zip,category,grades,cap_lb,greatschools_rating,ela_color,math_color,chronic_color,suspension_color,index,Block,BlockGroup,Tract
488,Sloat ES,Commodore Sloat Elementary School,37.730835,-122.470614,94127,Attendance,K-5th,65,8,Green,Green,Green,Blue,57,60750309005018,60750309005,6075030900.0
834,Spring Valley ES,Spring Valley Science School,37.79402,-122.4188,94109,Attendance,K-5th,14,5,Yellow,Yellow,Orange,Yellow,58,60750110002005,60750110002,6075011000.0
838,Starr King ES (PK-5),Starr King Elementary School,37.753343,-122.399049,94107,Attendance,PK-5th,57,6,Green,Blue,Yellow,Blue,59,60750614001002,60750614001,6075061400.0
842,Sunnyside ES,Sunnyside Elementary School,37.730288,-122.448234,94112,Attendance,K-5th,66,7,Blue,Blue,Orange,Blue,61,60750311004007,60750311004,6075031100.0
750,Sunset ES,Sunset Elementary School,37.750593,-122.499523,94116,Attendance,K-5th,67,10,Blue,Blue,Yellow,Blue,62,60750353001001,60750353001,6075035300.0
513,Taylor ES (PK-5),Edward Robeson Taylor School,37.727373,-122.407044,94134,Attendance,PK-5th,79,6,Green,Green,Orange,Blue,64,60750257023005,60750257023,6075025702.0
859,Tenderloin ES (PK-TK-5),Tenderloin Community School,37.781855,-122.419951,94102,Attendance,PK-TK-5th,28,2,Yellow,Yellow,Yellow,Green,65,60750124022001,60750124022,6075012402.0
862,Ulloa ES,Ulloa Elementary School,37.73729,-122.49991,94116,Attendance,K-5th,88,10,Green,Green,Blue,Yellow,66,60750353003005,60750353003,6075035300.0
867,Vis Valley ES,Visitacion Valley Elementary School,37.712525,-122.410275,94134,Attendance,K-5th,33,5,Orange,Green,Orange,Green,67,60750264012005,60750264012,6075026401.0
876,West Portal ES,West Portal Elementary School,37.742816,-122.464389,94127,Attendance,K-5th,99,8,Green,Green,Green,Blue,69,60750308001002,60750308001,6075030800.0
801,Yick Wo ES,Yick Wo Elementary School,37.8019,-122.416597,94133,Attendance,K-5th,46,8,Blue,Blue,Orange,Green,70,60750103001013,60750103001,6075010300.0
